Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-20.051842,6.4984207,-13.553421,-26.550262,1000.0,-26.486868,6.834017,-19.652851,-33.320885,1000.0,0.9064761400222778,173.19473266601562,177923,451.89650988578796,,80
7.249117,44.73835,51.987465,-37.48923,1000.0,-29.998367,6.2782297,-23.720137,-36.276596,1000.0,0.7957748770713806,149.1142578125,179923,459.0472183227539,,81
64.4525,30.126228,94.57873,34.32627,1000.0,-12.677809,18.078897,5.4010897,-30.756706,1000.0,1.2497225999832153,209.4324951171875,181923,465.67783427238464,,82
41.21045,15.7908325,57.00128,25.419617,1000.0,-6.9085226,33.319855,26.411333,-40.22838,1000.0,1.1933537721633911,171.05604553222656,183923,472.24251341819763,,83
57.829147,14.429779,72.25893,43.39937,1000.0,-11.931541,43.117535,31.185993,-55.049076,1000.0,1.1463357210159302,279.7499694824219,185923,478.9271831512451,,84
65.07907,4.298107,69.37718,60.780968,1000.0,37.32373,16.762108,54.08584,20.561623,1000.0,1.849495768547058,300.7927551269531,187923,485.55920577049255,,85
60.315704,4.0588284,64.374535,56.256878,1000.0,111.06527,1.8578568,112.92313,109.20741,1000.0,3.104534864425659,566.9488525390625,189923,491.0732560157776,,86
36.912655,26.41122,63.323875,10.501432,1000.0,41.370655,5.3785973,46.749252,35.992058,1000.0,1.9454976320266724,230.19960021972656,191923,496.80563163757324,,87
44.15678,34.065994,78.22278,10.090785,1000.0,83.238686,11.027687,94.26637,72.211,1000.0,2.5411932468414307,387.8323059082031,193923,503.2254476547241,,88
92.49478,18.38388,110.87866,74.1109,1000.0,75.940735,28.949856,104.890594,46.990883,1000.0,2.354642868041992,337.9140930175781,195923,509.83254075050354,,89
48.591877,58.834023,112.4019,-29.555687,827.3333333333334,126.74721,18.0775,144.8247,108.66971,1000.0,2.8575665950775146,658.8491821289062,197923,516.4361410140991,,90
74.30133,17.665031,91.96636,56.6363,1000.0,124.18272,31.645775,155.82849,92.53694,1000.0,2.8715627193450928,548.968017578125,199923,522.4519929885864,,91
106.12143,8.036896,114.158325,98.08453,1000.0,97.41114,24.337456,121.7486,73.073685,1000.0,2.338047504425049,320.8442077636719,201923,527.9708826541901,,92
59.287285,15.212687,74.49997,44.074596,1000.0,59.969658,14.00135,73.97101,45.968307,1000.0,1.6523741483688354,273.6013488769531,203923,533.8360257148743,,93
64.6541,7.048128,71.702225,57.60597,1000.0,44.698578,80.153694,128.06815,-63.4998,859.0,1.6073623895645142,679.9176635742188,206500,540.0075967311859,,94
7.227165,5.2316628,12.458828,1.9955025,1000.0,62.22302,25.55579,87.77881,36.66723,1000.0,1.4274883270263672,256.3865966796875,208500,545.9251618385315,,95
33.350327,5.1241856,38.474514,28.226143,1000.0,19.034824,16.535763,35.570587,2.4990616,1000.0,0.5462691783905029,127.80494689941406,210500,551.4264624118805,,96
1.1282101,45.84832,46.97653,-44.720108,1000.0,-10.186052,13.393972,3.20792,-23.580025,1000.0,0.22735388576984406,120.8731918334961,212500,558.7254045009613,,97
-88.15549,15.040298,-73.11519,-103.195786,1000.0,-24.910183,26.877369,1.9671869,-51.78755,1000.0,0.06289583444595337,95.00640106201172,214500,564.8008327484131,,98
-78.50719,12.755295,-65.75189,-91.26248,1000.0,-37.76488,22.681263,-15.083618,-60.446144,1000.0,-0.2070399820804596,153.38511657714844,216500,570.516562461853,,99
-103.17819,22.633656,-80.54454,-125.81185,1000.0,-31.792397,8.525784,-23.266613,-40.31818,1000.0,-0.13985353708267212,140.28770446777344,218500,575.8727807998657,,100
